Vernier Format 2
Untitled.cmbl 5/18/16 21:09 .
Latest
Wavelength	Intensity
λ	I
nm	rel

405.254605877	0.00191645045795
405.463232314	0.00190340414353
405.671846764	0.0020814479638
405.880449224	0.00222342256186
406.089039691	0.00226179407485
406.297618163	0.00219673960206
406.506184636	0.00230417983843
406.714739109	0.00209620623803
406.923281577	0.00206108154537
407.131812037	0.00206875584797
407.340330488	0.00215701032784
407.548836926	0.00241026231357
407.757331348	0.00237265823084
407.965813752	0.00238688520719
408.174284134	0.00235217374621
408.382742491	0.00221710602049
408.591188821	0.00222478032309
408.799623121	0.00226161697556
409.008045388	0.00246191627336
409.216455618	0.00226604445783
409.42485381	0.00214709276756
409.633239959	0.00201355990236
409.841614064	0.00204118739171
410.049976121	0.00191839855015
410.258326128	0.001867748153
410.466664081	0.00178793540599
410.674989978	0.0019136168693
410.883303816	0.0019573603941
411.091605591	0.00188138479839
411.299895301	0.00187371049579
411.508172944	0.00201798738463
411.716438515	0.00192973290475
411.924692013	0.00190670999696
412.132933434	0.00197194156904
412.341162776	0.00202814107729
412.549380035	0.00220022255478
412.757585208	0.00236445263037
412.965778294	0.00237289436322
413.173959288	0.00248340432063
413.382128189	0.002375196654
413.590284992	0.00245211677927
413.798429696	0.00246055851213
414.006562297	0.00272915910305
414.214682792	0.0028465759328
414.422791179	0.00273376368461
414.630887454	0.0027798095002
414.838971615	0.00291410979566
415.047043659	0.00284350621176
415.255103582	0.00287420342215
415.463151383	0.00285731995643
415.671187057	0.00311192970339
415.879210603	0.00320862591612
416.087222017	0.00327615977898
416.295221297	0.00323011396339
416.503208439	0.00342964583094
416.711183441	0.00341583208626
416.919146299	0.00340048348106
417.127097011	0.00323932312651
417.335035574	0.00324622999885
417.542961985	0.00303902382871
417.750876241	0.00311730171521
417.95877834	0.00310425540079
418.166668277	0.00303825639845
418.374546052	0.00297302482637
418.582411659	0.0028732588926
418.790265097	0.00302521008403
418.998106363	0.00306818617858
419.205935454	0.00291700241741
419.413752367	0.00282951536779
419.621557098	0.00290779325429
419.829349646	0.00307048846936
420.037130007	0.00291086297533
420.244898179	0.0026804567981
420.452654158	0.00265513159953
420.660397941	0.00268506137966
420.868129526	0.00262289952862
421.07584891	0.00273571177681
421.283556089	0.00260601606291
421.491251062	0.00262059723784
421.698933824	0.00260908578394
421.906604374	0.0025622725381
422.114262708	0.00242566995186
422.321908823	0.00262213209836
422.529542717	0.00279326904629
422.737164387	0.00281936167512
422.944773829	0.00275625529453
423.15237104	0.00306706454974
423.359956019	0.002852184077
423.567528762	0.00286216067038
423.775089265	0.00296346146467
423.982637527	0.00311464522585
424.190173544	0.00333413028014
